D1	D2	D3	counts	counts_died	counts_alive
C25	A49	F41	35	33	2
C25	D63	F41	33	33	0
C25	D63	G47	46	46	0
C25	E64	F41	25	24	1
C25	E64	G47	39	37	2
C25	E86	F41	79	77	2
C25	K59	A41	113	104	9
C25	K59	A49	92	84	8
C25	K59	F05	78	76	2
C25	K59	J15	48	46	2
C25	K59	J96	32	31	1
D13	C25	A41	30	21	9
D13	C25	K59	37	28	9
D37	C25	K59	26	24	2
E11	C25	A41	181	162	19
E11	C25	A49	69	55	14
E11	C25	D63	87	87	0
E11	C25	E13	83	53	30
E11	C25	E64	32	27	5
E11	C25	E86	182	171	11
E11	C25	F41	111	106	5
E11	C25	G47	108	103	5
E11	C25	K59	259	238	21
F10	K29	C25	29	27	2
F10	K86	C25	59	45	14
G56	E11	C25	26	22	4
I10	D13	C25	41	23	18
I20	E11	C25	109	102	7
I20	K29	C25	49	45	4
J45	E11	C25	28	26	2
K26	C25	A41	23	21	2
K26	C25	D63	33	31	2
K26	C25	E86	43	42	1
K26	C25	F41	22	22	0
K26	C25	K59	32	31	1
K29	C25	A41	51	49	2
K29	C25	D63	39	39	0
K29	C25	E86	60	57	3
K29	C25	F41	40	40	0
K29	C25	G47	39	39	0
K29	C25	K59	92	85	7
K29	K76	C25	21	20	1
K29	K80	C25	52	43	9
K29	K86	C25	72	65	7
K30	K80	C25	47	41	6
K30	K86	C25	50	45	5
K42	E11	C25	23	22	1
K44	K86	C25	44	38	6
K76	C25	A41	29	27	2
K76	C25	E86	25	24	1
K76	C25	K59	34	30	4
K80	C25	A41	127	116	11
K80	C25	A49	51	44	7
K80	C25	D63	66	65	1
K80	C25	E64	27	21	6
K80	C25	E86	122	116	6
K80	C25	F41	87	83	4
K80	C25	G47	73	70	3
K80	C25	K59	174	162	12
K80	D13	C25	40	26	14
K81	C25	A41	35	30	5
K81	C25	E86	27	25	2
K81	C25	F41	23	22	1
K81	C25	K59	38	35	3
K85	C25	A41	73	65	8
K85	C25	A49	35	29	6
K85	C25	D63	33	22	11
K85	C25	E86	49	45	4
K85	C25	F41	54	51	3
K85	C25	G47	54	51	3
K85	C25	K59	116	108	8
K85	E11	C25	59	52	7
K85	K86	C25	202	164	38
K86	C25	A41	113	99	14
K86	C25	A49	50	41	9
K86	C25	D63	57	56	1
K86	C25	E86	83	74	9
K86	C25	F41	54	52	2
K86	C25	G47	43	40	3
K86	C25	K59	138	124	14
M62	K29	C25	22	20	2